#the number of emitters: 23478
#amplitude(photoelectrons), x0(pixels), y0(pixels), simga_x(pixels), sigma_y(pixels), background(photoelectrons), z_position(pixels), quality, CNR, localization_precision_x(pixels), localization_precision_y(pixels), localization_precision_z(pixels), correlation_coefficient, frame
9.329718 496.690120 10.623826 1.118097 1.118097 6.002199 0.000000 2.284545 4.890515 0.369168 0.369168 0.000000 0.640282 0
4.827381 5.982605 54.707078 1.118097 1.118097 5.366044 0.000000 1.394549 3.053978 0.635538 0.635538 0.000000 0.410422 0
6.371913 148.667044 128.075454 1.118097 1.118097 5.997266 0.000000 1.493765 3.235101 0.516978 0.516978 0.000000 0.498107 0
6.555356 199.790111 135.706236 1.118097 1.118097 6.090836 0.000000 1.630935 3.609852 0.507071 0.507071 0.000000 0.523254 0
7.843999 215.907963 158.553173 1.118097 1.118097 6.102118 0.000000 1.711474 3.663745 0.432383 0.432383 0.000000 0.595899 0
7.912719 215.891745 158.543053 1.118097 1.118097 6.070217 0.000000 1.461835 3.091405 0.428202 0.428202 0.000000 0.598517 0
8.892521 428.359430 246.594825 1.118097 1.118097 6.450230 0.000000 2.613549 5.844073 0.395406 0.395406 0.000000 0.541525 0
16.716506 341.863723 326.281615 1.118097 1.118097 8.871655 0.000000 5.490728 12.277641 0.257492 0.257492 0.000000 0.706310 0
5.550103 67.817847 361.457362 1.118097 1.118097 5.797281 0.000000 1.544193 3.381687 0.577764 0.577764 0.000000 0.452496 0
5.092938 492.299189 389.246642 1.118097 1.118097 5.945918 0.000000 1.650566 3.351545 0.631464 0.631464 0.000000 0.421838 0
5.720989 492.290394 389.278395 1.118097 1.118097 5.628053 0.000000 1.573997 3.328599 0.555383 0.555383 0.000000 0.461071 0
7.279470 163.115200 462.308442 1.118097 1.118097 6.620406 0.000000 1.565495 3.310620 0.477104 0.477104 0.000000 0.546848 0
7.874209 163.037123 462.278150 1.118097 1.118097 6.316628 0.000000 2.288665 4.899335 0.436693 0.436693 0.000000 0.536172 0
11.315761 496.062042 10.255208 1.118097 1.118097 6.033946 0.000000 2.823388 6.249185 0.313480 0.313480 0.000000 0.740287 1
6.847432 215.750948 159.018169 1.118097 1.118097 6.533330 0.000000 1.901734 4.164681 0.501438 0.501438 0.000000 0.507173 1
7.648067 427.986694 247.059873 1.118097 1.118097 6.330237 0.000000 2.311920 4.889116 0.448519 0.448519 0.000000 0.478103 1
8.078565 427.621902 247.105767 1.118097 1.118097 6.349790 0.000000 1.646689 3.482324 0.427755 0.427755 0.000000 0.521394 1
15.272131 341.420863 326.437620 1.118097 1.118097 8.467440 0.000000 4.308608 9.634340 0.273538 0.273538 0.000000 0.661687 1
4.695707 490.193115 389.373048 1.118097 1.118097 5.799771 0.000000 1.468552 3.216040 0.673310 0.673310 0.000000 0.437806 1
8.973296 161.157404 462.016508 1.118097 1.118097 6.133539 0.000000 1.561513 3.302198 0.384950 0.384950 0.000000 0.555549 1
8.599743 161.233817 461.980427 1.118097 1.118097 6.349726 0.000000 2.184316 4.783518 0.404796 0.404796 0.000000 0.520769 1
9.780079 496.816602 10.543575 1.118097 1.118097 6.032106 0.000000 2.624582 5.868744 0.355069 0.355069 0.000000 0.645096 2
5.713246 145.344760 119.962989 1.118097 1.118097 6.214329 0.000000 1.654566 3.662157 0.578987 0.578987 0.000000 0.458627 2
9.810396 428.301052 246.211506 1.118097 1.118097 6.095370 0.000000 2.563265 5.613393 0.355465 0.355465 0.000000 0.639584 2
12.175445 341.405844 326.563936 1.118097 1.118097 8.308951 0.000000 4.198409 9.387928 0.330277 0.330277 0.000000 0.619417 2
12.808455 341.316193 326.589289 1.118097 1.118097 7.995513 0.000000 3.801429 8.500255 0.311624 0.311624 0.000000 0.640998 2
7.341429 492.027527 389.855163 1.118097 1.118097 5.700053 0.000000 2.125369 4.437340 0.446604 0.446604 0.000000 0.595526 2
6.470238 200.386307 406.406605 1.118097 1.118097 5.611096 0.000000 1.715489 3.756816 0.496628 0.496628 0.000000 0.498941 2
5.936405 160.865970 460.492493 1.118097 1.118097 5.689499 0.000000 1.554216 3.201323 0.539511 0.539511 0.000000 0.457753 2
8.471526 495.787741 10.337170 1.118097 1.118097 6.219865 0.000000 2.226355 4.875582 0.406976 0.406976 0.000000 0.550708 3
6.123806 427.785290 246.910884 1.118097 1.118097 6.193281 0.000000 1.914408 4.146104 0.542851 0.542851 0.000000 0.442513 3
13.646938 341.231470 326.569488 1.118097 1.118097 8.321244 0.000000 4.578405 10.237625 0.299342 0.299342 0.000000 0.681743 3
8.916174 496.056009 9.961750 1.118097 1.118097 6.383158 0.000000 2.387891 5.339487 0.392933 0.392933 0.000000 0.667159 4
7.655282 149.048708 128.703043 1.118097 1.118097 6.111840 0.000000 1.820735 4.071288 0.442079 0.442079 0.000000 0.648505 4
15.836076 341.247898 326.658918 1.118097 1.118097 7.797068 0.000000 4.180451 9.252859 0.257837 0.257837 0.000000 0.705492 4
4.942276 115.622154 331.641343 1.118097 1.118097 6.090338 0.000000 1.489111 3.225022 0.655667 0.655667 0.000000 0.426848 4
6.504060 199.420922 405.513721 1.118097 1.118097 5.502500 0.000000 1.437656 3.040273 0.490544 0.490544 0.000000 0.530608 4
9.461050 495.932160 10.364678 1.118097 1.118097 6.284844 0.000000 2.370782 5.134490 0.370945 0.370945 0.000000 0.623298 5
6.880995 148.858386 129.512171 1.118097 1.118097 6.052577 0.000000 1.563007 3.305358 0.484278 0.484278 0.000000 0.524908 5
4.325287 68.700051 151.037293 1.118097 1.118097 6.565360 0.000000 1.428013 3.092700 0.766081 0.766081 0.000000 0.398249 5
5.907576 149.305110 257.437339 1.118097 1.118097 6.259759 0.000000 1.552577 3.323595 0.563303 0.563303 0.000000 0.506785 5
3.594307 427.995350 247.974178 1.118097 1.118097 6.260622 0.000000 1.435197 3.142993 0.892458 0.892458 0.000000 0.352009 5
13.714685 342.300718 326.861531 1.118097 1.118097 8.200936 0.000000 4.214357 9.423589 0.296510 0.296510 0.000000 0.698805 5
6.716751 200.726736 406.292702 1.118097 1.118097 5.639191 0.000000 1.592765 3.325371 0.481274 0.481274 0.000000 0.519488 5
6.336463 496.201683 10.292074 1.118097 1.118097 6.063250 0.000000 1.461451 3.165118 0.521868 0.521868 0.000000 0.497870 6
6.404604 496.257000 10.259611 1.118097 1.118097 5.998549 0.000000 1.682042 3.722972 0.514646 0.514646 0.000000 0.529332 6
7.590758 149.232644 128.722830 1.118097 1.118097 6.336390 0.000000 1.871964 4.099487 0.451703 0.451703 0.000000 0.563205 6
5.079217 428.709900 246.186280 1.118097 1.118097 6.212366 0.000000 1.500805 3.133377 0.644737 0.644737 0.000000 0.413848 6
15.379548 341.194889 326.657043 1.118097 1.118097 8.063445 0.000000 4.592305 10.268706 0.267323 0.267323 0.000000 0.722599 6
6.217814 200.534568 405.198888 1.118097 1.118097 6.035959 0.000000 1.673920 3.494806 0.529881 0.529881 0.000000 0.477748 6
7.679482 48.279787 408.827030 1.118097 1.118097 4.885091 0.000000 1.738229 3.476458 0.405227 0.405227 0.000000 0.546017 6
4.708161 427.197363 246.684343 1.118097 1.118097 5.945483 0.000000 1.396699 3.024883 0.678722 0.678722 0.000000 0.381363 7
7.275907 243.424885 332.441168 1.118097 1.118097 6.247154 0.000000 1.798785 3.850651 0.466492 0.466492 0.000000 0.529661 7
7.306620 243.435698 332.343875 1.118097 1.118097 6.270168 0.000000 1.636464 3.544150 0.465413 0.465413 0.000000 0.548110 7
7.958570 341.933713 326.513920 1.118097 1.118097 7.365880 0.000000 2.630725 5.882480 0.459488 0.459488 0.000000 0.545791 7
